,name,album,artist,release_date,length,popularity,key,mode,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence
0,SHAKER,SHAKER,40mP,2019-04-22,257839,22,8,0,0.805,0.00518,0.529,0.00115,0.104,-4.368,0.0353,126.019,4,0.887
1,だんだん早くなる,だんだん早くなる,40mP,2015-08-16,137883,34,8,1,0.553,0.475,0.872,0.0,0.14,-2.922,0.11,131.068,4,0.946
2,だんだん高くなる,だんだん早くなる,40mP,2015-08-16,143663,15,5,1,0.48,0.0766,0.964,0.0,0.31,-2.33,0.0599,196.08,4,0.847
3,だんだん近くなる,だんだん早くなる,40mP,2015-08-16,93311,13,9,1,0.964,0.817,0.659,1.03e-05,0.0969,-5.566,0.0532,105.02,4,0.651
4,だんだん好きになる,だんだん早くなる,40mP,2015-08-16,177543,9,2,1,0.549,0.421,0.613,0.0,0.0533,-2.952,0.0312,160.039,3,0.678
5,だんだん増えてゆく,だんだん早くなる,40mP,2015-08-16,181351,10,9,1,0.461,0.361,0.845,0.0,0.228,-4.217,0.0443,191.97,4,0.737
6,キミボシ,キミボシ,40mP,2013-12-11,262213,15,9,1,0.582,0.241,0.692,3.34e-06,0.25,-5.752,0.0258,103.996,4,0.415
7,夢地図 (feat.GUMI),夢地図 (feat.GUMI),40mP,2013-11-27,188480,21,8,1,0.382,0.0211,0.936,0.00042,0.104,-2.097,0.051,176.03,4,0.883
8,シリョクケンサ (feat.GUMI),シリョクケンサ (feat.GUMI),40mP,2013-11-27,272000,32,5,0,0.598,0.00933,0.938,1.2e-05,0.0926,-4.342,0.0462,134.99,4,0.729
9,キリトリセン (feat.GUMI),キリトリセン (feat.GUMI),40mP,2013-11-27,235200,32,6,0,0.527,0.406,0.901,0.0,0.16,-2.38,0.0363,165.018,4,0.939
