,name,album,artist,release_date,length,popularity,key,mode,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence
0,ハイスペックニート,アインシュタインが解けなかった問題,40mP,2018-12-31,198769,25,7,1,0.622,0.000931,0.952,0.0,0.0635,-2.691,0.0535,109.947,4,0.905
1,High Spec Neet,The Problem Einstein couldn't solve,40mP,2018-12-31,198769,16,7,1,0.622,0.000931,0.952,0.0,0.0635,-2.691,0.0535,109.947,4,0.905
2,プロローグ,ショートストーリー,40mP,2016-12-31,248823,5,4,1,0.594,0.00653,0.904,0.0,0.161,-3.063,0.0349,136.069,4,0.919
3,Prologue,Short Story,40mP,2016-12-31,248823,8,4,1,0.594,0.00653,0.904,0.0,0.161,-3.063,0.0349,136.069,4,0.919
4,Going My Way!,41m,40mP,2014-08-17,226576,15,2,1,0.574,0.00492,0.974,0.0,0.0281,-2.485,0.0522,127.968,4,0.738
5,Going My Way!,41m,40mP,2014-08-17,226576,6,2,1,0.574,0.00492,0.974,0.0,0.0281,-2.485,0.0522,127.968,4,0.738
6,Life size,LIFE SIZE NOTE -40mP-,40mP,2010-05-07,276000,6,7,1,0.541,0.0549,0.939,0.00111,0.0152,-3.244,0.0395,152.045,4,0.884
7,SHAKER,SHAKER,40mP,2019-04-22,257839,22,8,0,0.805,0.00518,0.529,0.00115,0.104,-4.368,0.0353,126.019,4,0.887
8,SHAKER,SHAKER,40mP,2019-04-22,257839,25,8,0,0.805,0.00518,0.529,0.00115,0.104,-4.368,0.0353,126.019,4,0.887
9,だんだん早くなる,だんだん早くなる,40mP,2015-08-16,137883,34,8,1,0.553,0.475,0.872,0.0,0.14,-2.922,0.11,131.068,4,0.946
10,Dan dan hayaku naru,Dan dan hayaku naru,40mP,2015-08-16,137883,29,8,1,0.553,0.475,0.872,0.0,0.14,-2.922,0.11,131.068,4,0.946
11,Snow Fairy Story (オーケストラ ver.),Snow Fairy Story(オーケストラ ver.),40mP,2015-02-05,272000,22,9,1,0.512,0.436,0.49,0.0,0.139,-4.113,0.0284,127.953,4,0.167
12,キミボシ,キミボシ,40mP,2013-12-11,262213,15,9,1,0.582,0.241,0.692,3.34e-06,0.25,-5.752,0.0258,103.996,4,0.415
13,キリトリセン (feat.GUMI),キリトリセン (feat.GUMI),40mP,2013-11-27,235200,32,6,0,0.527,0.406,0.901,0.0,0.16,-2.38,0.0363,165.018,4,0.939
14,シリョクケンサ (feat.GUMI),シリョクケンサ (feat.GUMI),40mP,2013-11-27,272000,32,5,0,0.598,0.00933,0.938,1.2e-05,0.0926,-4.342,0.0462,134.99,4,0.729
15,夢地図 (feat.GUMI),夢地図 (feat.GUMI),40mP,2013-11-27,188480,21,8,1,0.382,0.0211,0.936,0.00042,0.104,-2.097,0.051,176.03,4,0.883
16,モザイクロール,EXIT TUNES PRESENTS Gumissimo from Megpoid ―10th ANNIVERSARY BEST―,Various Artists,2019-06-19,186000,13,5,1,0.515,0.00104,0.919,0.926,0.326,-3.623,0.0534,145.039,4,0.595
17,Invitation,ウタカタリレイション,Various Artists,2015-12-29,143453,10,1,1,0.651,0.0405,0.968,0.00827,0.304,-3.475,0.0941,146.875,4,0.85
18,Invitation,Utakatarelation,Various Artists,2015-12-29,143453,3,1,1,0.651,0.0405,0.968,0.00827,0.304,-3.475,0.0941,146.875,4,0.85
19,Fire Flower,Actors - Songs Collection -,Various Artists,2015-09-23,262454,10,9,1,0.401,0.0243,0.894,0.0,0.202,-4.719,0.0887,175.12,4,0.371
20,Streaming Heart,Exit Tunes Presents Numbers,Various Artists,2015-08-19,181117,34,1,1,0.612,0.00179,0.888,0.0272,0.339,-10.697,0.0752,105.016,4,0.729
21,Aria,Exit Tunes Presents Supernova,Various Artists,2015-08-01,264000,15,9,1,0.463,0.151,0.854,0.0,0.244,-4.711,0.0392,175.01,4,0.478
22,"Aa Subarashiki Nyansei",Exit Tunes Presents 10 Dai Utattemita Live! Best 2,Various Artists,2015-08-01,220098,19,10,0,0.629,0.0809,0.809,1.39e-06,0.154,-4.3,0.0317,97.062,4,0.767
23,Soar -Overdrive-,Exit Tunes Presents Kamikyoku Wo Utattemita,Various Artists,2015-08-01,215000,3,9,1,0.534,0.51,0.978,0.000762,0.426,-0.945,0.0528,142.987,4,0.687
24,R‐18,Exit Tunes Presents Supernova,Various Artists,2015-08-01,295384,1,1,0,0.413,0.00788,0.983,0.0,0.222,-2.567,0.077,182.044,4,0.417
25,S-P-B Ryu Special Non Stop Mega-Mix,Exit Tunes Presents Super Producers Beat Mixed By Ryu,Various Artists,2015-08-01,144377,2,9,1,0.325,0.0399,0.977,0.000109,0.369,-2.919,0.231,148.569,4,0.446
26,Bunretsu Hakai,Exit Tunes Presents Supernova 3,Various Artists,2015-08-01,336000,3,2,1,0.427,0.396,0.976,0.00776,0.355,-3.404,0.154,92.345,4,0.302
27,Sky,Exit Tunes Presents 10 Dai Utattemita Live! Best,Various Artists,2015-08-01,319875,0,5,1,0.454,0.354,0.581,2.43e-05,0.11,-5.18,0.0445,150.098,4,0.23
28,Amanojaku,Amanojaku,Various Artists,2015-08-01,187000,17,2,1,0.483,0.0136,0.964,0.000215,0.322,-3.055,0.118,100.619,4,0.5
29,Just Be Friends - Piano Ver.,Exit Tunes Presents Ikemen Voice Paradise,Various Artists,2015-08-01,370000,9,2,1,0.696,0.901,0.273,0.0,0.0913,-9.618,0.0366,104.819,4,0.453
30,Start,Exit Tunes Presents Stages,Various Artists,2015-08-01,198800,1,1,0,0.565,0.000178,0.903,2.93e-05,0.132,-2.176,0.0461,100.008,4,0.67
