,name,album,artist,release_date,length,popularity,key,mode,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence
0,Right Here,Right Here,Mikito P,2020-10-20,164606,10,4,0,0.601,0.843,0.259,0.905,0.11,-17.075,0.0276,139.974,4,0.451
1,だいよげん,だいよげん,Mikito P,2020-05-17,283478,12,9,1,0.637,0.475,0.899,0.0152,0.119,-5.349,0.0297,138.004,4,0.847
2,I meets You!!,I meets You!!,Mikito P,2020-04-19,220127,14,0,1,0.568,0.0925,0.949,0.0,0.238,-2.108,0.0653,157.089,4,0.519
3,Sister,Sister,Mikito P,2020-02-19,332571,6,1,1,0.605,0.306,0.578,0.00962,0.365,-6.7,0.0293,140.032,4,0.259
4,Green Shower,Green Shower,Mikito P,2019-10-01,260816,4,1,1,0.484,0.00376,0.884,0.0,0.297,-3.943,0.0515,195.956,4,0.593
5,少女ふぜゐ -Vocaloid Ver.,少女ふぜゐ -Vocaloid Ver.,Mikito P,2019-07-03,271875,19,7,1,0.5,0.0111,0.87,0.0,0.196,-5.151,0.044,128.03,4,0.466
6,39みゅーじっく!,39みゅーじっく! (feat.初音ミク),Mikito P,2017-08-31,265846,36,11,0,0.528,0.017,0.989,0.000473,0.0964,-2.967,0.0741,130.015,4,0.525
7,ガールズインターハイ,ガールズインターハイ,Mikito P,2016-08-03,259640,11,9,0,0.36,0.00154,0.92,1.73e-05,0.43,-3.637,0.0992,170.054,4,0.431
8,さよならはきえない,さよならはきえない,Mikito P,2016-08-03,311826,8,2,1,0.518,0.3,0.924,2.1e-05,0.102,-3.456,0.0399,149.969,4,0.489
9,いるか Starlight,いるか Starlight,Mikito P,2016-08-03,262493,10,7,1,0.517,0.0131,0.956,0.0013,0.438,-4.054,0.0648,156.969,4,0.83
10,Home Party,Home Party,Mikito P,2016-08-03,262880,8,9,1,0.683,0.0445,0.849,1.61e-05,0.121,-4.591,0.0254,110.022,4,0.751
11,Hoi,Hoi,Mikito P,2016-08-03,243186,10,9,1,0.266,0.0347,0.977,3.72e-06,0.042,-1.836,0.235,150.108,5,0.674
12,あのこサーティースリー,あのこサーティースリー,Mikito P,2015-09-16,244906,1,2,1,0.406,0.000934,0.976,0.0,0.321,-4.233,0.058,164.968,4,0.567
13,京都ダ菓子屋センソー,あのこサーティースリー,Mikito P,2015-09-16,284346,1,4,1,0.4,0.0345,0.883,0.0,0.129,-3.497,0.0423,76.46,4,0.644
14,きゅりあす,きゅりあす,Mikito P,2015-07-15,263636,1,2,0,0.548,0.0298,0.922,0.0,0.285,-3.459,0.0421,131.983,4,0.66
15,おもふといふ,きゅりあす,Mikito P,2015-07-15,286736,1,6,0,0.528,0.029,0.893,1.69e-06,0.177,-4.736,0.03,95.007,4,0.59
16,いーあるふぁんくらぶ,いーあるふぁんくらぶ,Mikito P,2012-12-12,238344,37,7,0,0.484,0.116,0.971,1.75e-06,0.092,-3.433,0.138,144.994,4,0.538
