,name,album,artist,release_date,length,popularity,key,mode,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence
0,幻想と羅針盤 (feat. 巡音ルカ),幻想と羅針盤,otetsu,2020-01-30,228000,4,9,1,0.514,0.451,0.837,0.0,0.129,-3.401,0.0503,189.943,4,0.418
1,ご覧、蒔いた種が花を咲かせた。期待通りの汚い花。 (feat. メグッポイド),ご覧、蒔いた種が花を咲かせた。期待通りの汚い花。,otetsu,2019-12-11,208000,6,8,0,0.482,0.00184,0.963,0.0,0.162,-3.233,0.0571,150.012,4,0.789
2,umbrella(2019) (feat. 巡音ルカ),ご覧、蒔いた種が花を咲かせた。期待通りの汚い花。,otetsu,2019-12-11,287000,3,6,0,0.493,0.0178,0.954,2.28e-05,0.0932,-3.007,0.0452,95.013,4,0.272
3,かげ (feat. メグッポイド),かげ,otetsu,2019-06-24,248640,3,11,0,0.547,0.00618,0.94,0.0,0.213,-3.111,0.0656,125.062,4,0.288
4,Bottom out (feat. 巡音ルカ),Bottom out,otetsu,2019-04-03,236000,2,6,0,0.622,0.0152,0.913,0.0,0.113,-3.721,0.0794,134.969,4,0.594
5,白灰砂の海(2018) (feat. 巡音ルカ),Bottom out,otetsu,2019-04-03,224000,0,11,0,0.656,0.0367,0.787,0.0,0.037,-3.466,0.0425,111.044,4,0.543
6,Blaze(2019) (feat. 巡音ルカ),Bottom out,otetsu,2019-04-03,210000,2,6,0,0.478,0.000362,0.971,0.0,0.179,-3.372,0.125,120.035,4,0.235
7,棚引く厭世爍かす程 (feat. 巡音ルカ),棚引く厭世爍かす程,otetsu,2019-01-25,272000,10,1,0,0.546,0.00134,0.932,0.0,0.183,-3.817,0.0629,134.965,4,0.748
8,日常と祝祭 (feat. 巡音ルカ),棚引く厭世爍かす程,otetsu,2019-01-25,206000,2,7,1,0.561,0.0497,0.897,0.0,0.109,-4.633,0.0378,110.012,4,0.72
9,空を泳いだ (feat. 巡音ルカ),空を泳いだ,otetsu,2018-01-26,240000,1,0,1,0.641,0.000546,0.915,0.0,0.332,-2.999,0.038,129.984,3,0.504
10,friction (feat. 巡音ルカ),空を泳いだ,otetsu,2018-01-26,204000,3,1,0,0.513,7.51e-05,0.971,1.41e-05,0.254,-2.834,0.0644,140.037,4,0.771
11,廃日 (feat. 巡音ルカ),空を泳いだ,otetsu,2018-01-26,210000,3,11,0,0.562,3.77e-05,0.977,0.0013,0.304,-2.506,0.0755,119.978,4,0.512
12,mud (feat. 巡音ルカ),Rest,otetsu,2014-04-28,200431,0,9,1,0.575,0.00345,0.959,0.0,0.223,-2.376,0.0554,130.015,4,0.682
13,孤独と疎外感だけが満ちている (feat. 巡音ルカ),Rest,otetsu,2014-04-28,218882,0,0,1,0.496,0.00696,0.983,0.0,0.359,-0.806,0.0478,92.483,4,0.914
14,ERROR (feat. メグッポイド),Rest,otetsu,2014-04-28,207956,1,5,0,0.552,0.00541,0.985,0.0,0.308,-1.603,0.0484,140.01,4,0.918
15,水面の桜、夢は逆夢 (feat. 巡音ルカ),Rest,otetsu,2014-04-28,258157,10,4,0,0.546,0.00746,0.951,0.0,0.323,-1.801,0.0345,99.997,4,0.679
16,罅 (feat. メグッポイド),Rest,otetsu,2014-04-28,255596,0,4,0,0.552,0.0103,0.897,7e-06,0.135,-3.002,0.0376,119.977,4,0.699
17,ゆりかご (feat. 巡音ルカ),ゆりかご,otetsu,2014-03-05,261500,0,1,0,0.516,0.00471,0.934,1.19e-05,0.0413,-3.267,0.0422,120.032,4,0.668
18,friction (feat. メグッポイド),ゆりかご,otetsu,2014-03-05,202000,0,1,0,0.493,0.0014,0.99,2.1e-05,0.208,-2.627,0.0887,139.977,4,0.743
19,Feb.14 (feat. 巡音ルカ),Feb.14,otetsu,2014-01-30,275031,0,1,0,0.523,0.00294,0.859,0.000464,0.167,-3.505,0.0312,95.016,4,0.522
20,生温く真紅い歪な果実、蜜を啜るのは飽きたから腐る前に残さず食べましょう。仮に愛せなくても。 (feat. 巡音ルカ),生温く真紅い歪な果実、蜜を啜るのは飽きたから腐る前に残さず食べましょう。仮に愛せなくても。,otetsu,2011-03-28,215609,1,6,0,0.419,0.00435,0.902,2.37e-06,0.14,-2.356,0.0459,140.071,4,0.388
21,Rejection (feat. がくっぽいど),生温く真紅い歪な果実、蜜を啜るのは飽きたから腐る前に残さず食べましょう。仮に愛せなくても。,otetsu,2011-03-28,218434,2,9,0,0.494,0.0592,0.992,0.0103,0.143,-2.766,0.176,120.024,4,0.266
22,ハレバレバイバイ。 (feat. メグッポイド),生温く真紅い歪な果実、蜜を啜るのは飽きたから腐る前に残さず食べましょう。仮に愛せなくても。,otetsu,2011-03-28,199418,0,4,1,0.5,0.00467,0.916,7.2e-05,0.0829,-1.587,0.0378,105.056,4,0.878
23,チョコレート(vo:otetsu),生温く真紅い歪な果実、蜜を啜るのは飽きたから腐る前に残さず食べましょう。仮に愛せなくても。,otetsu,2011-03-28,123999,1,1,0,0.388,0.00416,0.99,0.109,0.272,-1.379,0.0944,179.991,4,0.718
24,Child's Garden (feat. 巡音ルカ),Child's Garden,otetsu,2010-01-30,265500,0,4,0,0.511,0.216,0.984,0.0,0.12,-1.556,0.0735,120.024,4,0.547
25,RED (feat. 巡音ルカ),Child's Garden,otetsu,2010-01-30,207613,0,4,0,0.591,0.0542,0.882,0.0,0.0838,-2.708,0.0942,119.989,4,0.385
26,Incineration (feat. 巡音ルカ),Child's Garden,otetsu,2010-01-30,210411,0,9,0,0.508,0.0297,0.989,0.0,0.128,-1.72,0.0666,110.05,4,0.535
27,殻 (feat. 巡音ルカ),Child's Garden,otetsu,2010-01-30,291080,0,9,0,0.486,0.0482,0.65,0.0,0.103,-3.195,0.0269,179.997,4,0.327
28,No answer (feat. 初音ミク),No answer,otetsu,2009-08-31,256040,0,11,0,0.309,0.0293,0.948,0.0,0.167,-2.626,0.0831,195.172,4,0.508
29,証 (feat. 初音ミク),No answer,otetsu,2009-08-31,249163,0,9,0,0.501,0.0107,0.816,0.0,0.257,-3.656,0.0402,124.98,4,0.626
