,name,album,artist,release_date,length,popularity,key,mode,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence
0,銀河電燈,銀河電燈,Nayutalien,2021-03-21,187745,24,8,1,0.597,0.00652,0.857,7.51e-05,0.287,-2.303,0.0427,140.037,4,0.698
1,学園スペーシー,学園スペーシー,Nayutalien,2021-01-23,219870,30,10,0,0.55,0.0215,0.955,0.0,0.253,-4.602,0.0814,154.953,4,0.641
2,いにしえロマンティック,いにしえロマンティック,Nayutalien,2021-01-23,185901,35,2,1,0.535,0.0094,0.981,0.00216,0.338,-0.8,0.0621,155.004,4,0.728
3,halo,halo,Nayutalien,2020-10-06,185000,18,5,0,0.303,0.000479,0.932,1.46e-06,0.187,-2.912,0.158,184.75,4,0.633
4,水色侵略,水色侵略,Nayutalien,2020-09-05,249560,27,6,1,0.3,0.00146,0.955,1.12e-05,0.121,-0.482,0.0788,181.889,4,0.44
5,大宇宙ランデブー,大宇宙ランデブー,Nayutalien,2020-08-06,205609,17,1,1,0.394,0.00961,0.944,1.84e-05,0.357,-0.2,0.0487,164.023,4,0.649
6,サイファイエクスタシー,サイファイエクスタシー,Nayutalien,2020-05-12,180000,19,1,0,0.436,0.00351,0.917,1.09e-06,0.0995,-1.695,0.0907,170.017,4,0.552
7,猫猫的宇宙論,猫猫的宇宙論,Nayutalien,2020-02-25,216716,29,11,1,0.6,0.00529,0.947,1.52e-05,0.406,-1.007,0.0634,134.084,4,0.711
8,藍と極星 - Vocaloid ver.,藍と極星 (Vocaloid ver.),Nayutalien,2018-08-29,188769,14,8,1,0.664,0.0241,0.73,2.76e-06,0.0584,-5.902,0.0283,130.025,4,0.79
