,name,album,artist,release_date,length,popularity,key,mode,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence
33,Bunretsu Hakai,Exit Tunes Presents Supernova 3,Various Artists,2015-08-01,336000,3,2,1,0.427,0.396,0.976,0.00776,0.355,-3.404,0.154,92.345,4,0.302
34,Risky Game,Exit Tunes Presents Ikemen Voice Paradise 3,Various Artists,2015-08-01,209000,10,7,0,0.68,0.635,0.654,0.0,0.0988,-4.509,0.0514,133.007,4,0.728
35,Go! Shichi! Go!,"""Utayui 575"" Azuki To Maccha Character Song Collection!!",Various Artists,2015-08-01,185500,0,8,1,0.44,0.0241,0.901,0.0,0.243,-3.632,0.0441,101.002,3,0.435
36,曇天ノ陰ニ,IA THE WORLD 〜雨〜,Various Artists,2015-05-13,294000,0,10,0,0.598,0.00702,0.885,0.00026,0.8,-6.32,0.0417,111.497,3,0.267
37,Mosaic Roll,Exit Tunes Presents The Best Of Gumi From Megpoid,Various Artists,2015-03-11,183600,19,5,1,0.538,0.0018,0.933,0.807,0.333,-2.75,0.0581,145.023,4,0.62
38,モザイクロール,EXIT TUNES PRESENTS THE BEST OF GUMI from Megpoid,Various Artists,2015-02-04,183600,0,5,1,0.538,0.0018,0.933,0.807,0.333,-2.75,0.0581,145.023,4,0.62
39,牢獄のアドニス,IA THE WORLD 〜蒼〜,Various Artists,2014-07-02,206626,0,8,1,0.223,0.622,0.7,0.0,0.114,-6.797,0.0525,92.554,4,0.184
40,Password,IA THE WORLD 〜鍵〜,Various Artists,2013-10-02,263080,0,8,0,0.327,0.0191,0.956,0.000409,0.484,-6.006,0.217,174.967,4,0.531
41,無気力クーデター,EXIT TUNES PRESENTS Vocaloextra feat.GUMI・IA・MAYU,Various Artists,2013-06-05,236600,1,7,0,0.395,0.00995,0.991,1.09e-06,0.263,-1.544,0.195,184.996,4,0.636
42,Mukiryoku Coup D'Etat,Exit Tunes Presents Vocaloextra,Various Artists,2013,236600,3,7,0,0.395,0.00995,0.991,1.09e-06,0.263,-1.544,0.195,184.996,4,0.636
43,Yukueshirezu,Exit Tunes Presents Gumity From Megpoid,Various Artists,2013,223722,2,5,1,0.534,0.0358,0.965,3.17e-05,0.129,-1.159,0.07,131.981,4,0.72
44,夢幻,IA THE WORLD 〜風〜,Various Artists,2012-09-26,280880,0,3,0,0.461,0.155,0.947,3.38e-06,0.0832,-4.004,0.0707,94.972,4,0.248
45,幽霊屋敷の首吊り少女 feat.灯油(カバー),トモシビアブラ,TOUYU,2012-06-20,269732,0,0,0,0.261,0.0251,0.897,2.21e-05,0.114,-2.674,0.044,88.223,4,0.783
46,ネコミミアーカイブ(カバー) feat.ぐるたみん,EXIT TUNES PRESENTS イケメンボイスパラダイス4 ジャケットイラスト:星た,Various Artists,2012-05-02,209500,2,6,1,0.461,0.184,0.983,0.0,0.357,-0.896,0.142,164.026,4,0.563
